,collocate,raw_frequency,MI
160,slapin,1,13.241493212324903
277,cat,494,13.241493212324903
139,magnetises,1,13.241493212324903
252,sekhet,1,13.241493212324903
203,undomesticated,1,13.241493212324903
260,sunned,1,13.241493212324903
375,miaou,1,13.241493212324903
432,filippina,1,13.241493212324903
35,vivisected,1,13.241493212324903
256,pussy,9,12.656530711603747
393,elaborates,2,12.241493212324903
354,purring,20,11.241493212324903
61,spotty,4,11.241493212324903
189,plumy,4,11.241493212324903
108,shrewish,5,10.919565117437541
402,cheshire,6,10.656530711603747
293,expands,7,10.434138290267299
440,skinning,8,10.241493212324903
264,drowsing,8,10.241493212324903
395,elaborated,9,10.07156821088259
341,japan,31,9.872259402659184
87,persian,63,9.849175789546143
90,mummies,11,9.782061593687606
225,ambled,11,9.782061593687606
437,tabby,31,9.287296901938028
89,heaping,17,9.154030371074564
258,chargers,18,9.07156821088259
215,bestows,18,9.07156821088259
378,poaching,19,8.993565698881318
13,oud,21,8.849175789546143
86,tiger,110,8.782061593687606
85,jumps,46,8.71793125626789
271,fondling,26,8.541053494183812
97,brownish,29,8.383512217197332
176,whistles,29,8.383512217197332
218,stealthy,89,8.350722282079662
167,sh,30,8.334602616716385
280,sidled,30,8.334602616716385
359,canaries,31,8.287296901938028
332,pounced,32,8.241493212324903
219,unattractive,33,8.19709909296645
414,basking,34,8.154030371074564
178,tortoise,35,8.112210195379937
171,steals,37,8.032039846695953
415,boxed,43,7.815228457622805
337,aimless,43,7.815228457622805
214,watches,129,7.815228457622805
157,wrathful,45,7.749640115995228
100,flared,45,7.749640115995228
82,howled,47,7.686904360647266
400,bitten,94,7.686904360647266
208,fingered,48,7.656530711603747
237,stroking,98,7.626783368209695
172,lets,101,7.583281729573108
343,poking,52,7.541053494183811
352,disreputable,52,7.541053494183811
435,torturing,54,7.4866057101614345
391,licked,55,7.460133498800244
335,scratching,58,7.383512217197331
410,supercilious,59,7.358850162963062
78,dislikes,60,7.334602616716385
302,hag,62,7.287296901938028
66,missus,125,7.275708927662816
387,whistled,126,7.264213288824987
408,petted,63,7.264213288824987
243,slunk,64,7.241493212324903
47,crouching,130,7.219125399296448
356,assisting,65,7.219125399296448
37,enraged,66,7.197099092966449
77,mordaunt,67,7.175404021867131
353,tommy,135,7.164677615274073
322,writhing,68,7.154030371074564
99,stray,138,7.1329687555467345
23,paws,71,7.0917460928202205
75,dozing,72,7.071568210882591
182,flitting,73,7.051668653444886
64,spies,73,7.051668653444886
79,starved,146,7.051668653444886
274,privileged,74,7.0320398466959535
374,strolling,75,7.012674521829022
403,decently,82,6.88394120770682
267,plight,93,6.702334401216872
92,maxim,97,6.641580370137775
385,hal,99,6.612136592245293
365,kicking,102,6.569067870353408
390,cleaned,102,6.569067870353408
1,wild,2019,6.509995530437015
137,tame,108,6.4866057101614345
262,sporting,110,6.460133498800244
330,interrupting,111,6.447077345974797
288,skins,114,6.408603198160161
284,drinks,115,6.396003161380528
281,le,231,6.389744170908846
141,oars,120,6.334602616716385
229,strokes,120,6.334602616716385
124,compromise,122,6.310755874762017
3,uses,128,6.241493212324903
193,sandy,130,6.219125399296448
285,leaped,270,6.164677615274073
244,extinguished,138,6.1329687555467345
379,favorite,141,6.101941859926109
323,bury,145,6.061584122309968
184,salary,147,6.041820867488538
128,pole,149,6.0223246918627416
433,borrowed,149,6.0223246918627416
360,swing,151,6.003088472999824
19,gaunt,153,5.9841053696322515
292,rail,154,5.974706671630002
261,dog,1715,5.956931969902025
96,trotted,157,5.946872463433276
355,cynical,157,5.946872463433276
304,official,319,5.9240805985600336
194,rotten,160,5.919565117437541
236,slid,164,5.88394120770682
436,sly,164,5.88394120770682
329,sleepy,175,5.790282100492574
127,nasty,177,5.773887662241906
147,recollect,180,5.749640115995228
16,lean,367,5.72185695948169
146,hateful,191,5.664064384289154
62,eyed,579,5.649036175056823
377,leila,193,5.649036175056822
266,curled,195,5.634162898575292
69,method,200,5.597637022550178
358,unfortunately,208,5.541053494183811
430,leap,216,5.4866057101614345
88,comfortably,220,5.460133498800244
406,stepping,224,5.434138290267299
