,nodeA,nodeB,weight
0,Donald Trump,Mark Meadows,5
1,Mark,Mark Meadows,1
2,Joseph Crowley,Mark Meadows,1
3,Mark Meadows,Paul Ryan,2
4,Mark Meadows,Meadows,1
5,Mark Meadows,Ryan,6
6,Debbie Dingell,Mark Meadows,1
7,Mark Meadows,Rick Scott,1
8,Donald Trump,Mark,1
9,Donald Trump,Joseph Crowley,1
10,Donald Trump,Paul Ryan,31
11,Donald Trump,Meadows,1
12,Donald Trump,Ryan,37
13,Debbie Dingell,Donald Trump,1
14,Donald Trump,Rick Scott,1
15,Joseph Crowley,Mark,1
16,Mark,Paul Ryan,1
17,Mark,Meadows,1
18,Mark,Ryan,1
19,Debbie Dingell,Mark,1
20,Mark,Rick Scott,1
21,Joseph Crowley,Paul Ryan,1
22,Joseph Crowley,Meadows,1
23,Joseph Crowley,Ryan,1
24,Debbie Dingell,Joseph Crowley,1
25,Joseph Crowley,Rick Scott,1
26,Meadows,Paul Ryan,1
27,Paul Ryan,Ryan,48
28,Debbie Dingell,Paul Ryan,1
29,Paul Ryan,Rick Scott,1
30,Meadows,Ryan,1
31,Debbie Dingell,Meadows,1
32,Meadows,Rick Scott,1
33,Debbie Dingell,Ryan,1
34,Rick Scott,Ryan,1
35,Debbie Dingell,Rick Scott,1
36,Donald Trump,Heather Babb,1
37,Donald Trump,Jennifer Levi,1
38,Donald Trump,Levi,1
39,Barack Obama,Donald Trump,117
40,Donald Trump,Obama,10
41,Donald Trump,James Mattis,5
42,Heather Babb,Jennifer Levi,1
43,Heather Babb,Levi,1
44,Barack Obama,Heather Babb,1
45,Heather Babb,Obama,1
46,Heather Babb,James Mattis,1
47,Jennifer Levi,Levi,1
48,Barack Obama,Jennifer Levi,1
49,Jennifer Levi,Obama,1
50,James Mattis,Jennifer Levi,1
51,Barack Obama,Levi,1
52,Levi,Obama,1
53,James Mattis,Levi,1
54,Barack Obama,Obama,6
55,Barack Obama,James Mattis,3
56,James Mattis,Obama,3
57,Lindsey Graham,Trump,12
58,Robert Mueller,Trump,88
59,Graham,Trump,12
60,Mueller,Trump,107
61,Christopher Steele,Trump,6
62,George Papadopoulos,Trump,35
63,Hillary Clinton,Trump,92
64,Lindsey Graham,Robert Mueller,2
65,Graham,Lindsey Graham,9
66,Lindsey Graham,Mueller,3
67,Christopher Steele,Lindsey Graham,1
68,George Papadopoulos,Lindsey Graham,1
69,Hillary Clinton,Lindsey Graham,2
70,Graham,Robert Mueller,7
71,Mueller,Robert Mueller,118
72,Christopher Steele,Robert Mueller,2
73,George Papadopoulos,Robert Mueller,22
74,Hillary Clinton,Robert Mueller,44
75,Graham,Mueller,9
76,Graham,Graham,9
77,Christopher Steele,Graham,3
78,George Papadopoulos,Graham,3
79,Graham,Hillary Clinton,3
80,Mueller,Mueller,147
81,Christopher Steele,Mueller,5
82,George Papadopoulos,Mueller,27
83,Hillary Clinton,Mueller,65
84,Christopher Steele,George Papadopoulos,1
85,Christopher Steele,Hillary Clinton,5
86,George Papadopoulos,Hillary Clinton,15
87,George Papadopoulos,Papadopoulos,87
88,Alexander Downer,George Papadopoulos,1
89,Donald Trump,George Papadopoulos,27
90,Abdel Fattah al-Sisi,George Papadopoulos,1
91,George Papadopoulos,Ty Cobb,1
92,Hillary Clinton,Papadopoulos,59
93,Alexander Downer,Hillary Clinton,1
94,Donald Trump,Hillary Clinton,104
95,Abdel Fattah al-Sisi,Hillary Clinton,1
96,Hillary Clinton,Ty Cobb,4
97,Alexander Downer,Papadopoulos,6
98,Papadopoulos,Papadopoulos,357
99,Donald Trump,Papadopoulos,100
100,Abdel Fattah al-Sisi,Papadopoulos,6
101,Papadopoulos,Robert Mueller,78
102,Papadopoulos,Trump,119
103,Papadopoulos,Ty Cobb,6
104,Alexander Downer,Donald Trump,1
105,Abdel Fattah al-Sisi,Alexander Downer,1
106,Alexander Downer,Robert Mueller,1
107,Alexander Downer,Trump,1
108,Alexander Downer,Ty Cobb,1
109,Abdel Fattah al-Sisi,Donald Trump,3
110,Donald Trump,Robert Mueller,105
111,Donald Trump,Trump,423
112,Donald Trump,Ty Cobb,7
113,Abdel Fattah al-Sisi,Robert Mueller,1
114,Abdel Fattah al-Sisi,Trump,2
115,Abdel Fattah al-Sisi,Ty Cobb,1
116,Robert Mueller,Ty Cobb,7
117,Trump,Ty Cobb,9
118,Donald Trump,Package,1
119,Donald Trump,Jeff Bezos,1
120,Bezos,Donald Trump,1
121,Daniel Ives,Donald Trump,1
122,Donald Trump,Jindel,1
123,Donald Trump,Steve Gaut,1
124,Jeff Bezos,Package,1
125,Bezos,Package,1
126,Daniel Ives,Package,1
127,Jindel,Package,1
128,Package,Steve Gaut,1
129,Bezos,Jeff Bezos,1
130,Daniel Ives,Jeff Bezos,1
131,Jeff Bezos,Jindel,1
132,Jeff Bezos,Steve Gaut,1
133,Bezos,Daniel Ives,1
134,Bezos,Jindel,1
135,Bezos,Steve Gaut,1
136,Daniel Ives,Jindel,1
137,Daniel Ives,Steve Gaut,1
138,Jindel,Steve Gaut,1
139,Donald Trump,Mick Mulvaney,25
140,Donald Trump,Marc Short,8
141,Donald Trump,Mitch McConnell,60
142,Chuck Schumer,Donald Trump,47
143,Donald Trump,Nancy Pelosi,32
144,Donald Trump,McConnell,74
145,Donald Trump,Jeff Flake,18
146,Marc Short,Mick Mulvaney,1
147,Mick Mulvaney,Mitch McConnell,2
148,Mick Mulvaney,Paul Ryan,2
149,Chuck Schumer,Mick Mulvaney,3
150,Mick Mulvaney,Nancy Pelosi,1
151,McConnell,Mick Mulvaney,1
152,Mick Mulvaney,Ryan,1
153,Barack Obama,Mick Mulvaney,7
154,Mick Mulvaney,Trump,14
155,Jeff Flake,Mick Mulvaney,1
156,Marc Short,Mitch McConnell,1
157,Marc Short,Paul Ryan,1
158,Chuck Schumer,Marc Short,2
159,Marc Short,Nancy Pelosi,5
160,Marc Short,McConnell,1
