,nodes,degree,betweenness,eigenvector
0,U.S.,1.0714285714285714,0.7362637362637363,0.5720980990550045
1,the United States,0.6428571428571428,0.1043956043956044,0.43738754471037394
2,Russia,0.3571428571428571,0.005494505494505495,0.24762873232988225
3,WASHINGTON,0.14285714285714285,0.0,0.1783118512774195
4,China,0.42857142857142855,0.01098901098901099,0.3186860544120552
5,Washington,0.14285714285714285,0.0,0.1783118512774195
6,North Korea,0.42857142857142855,0.01098901098901099,0.3186860544120552
7,Iran,0.3571428571428571,0.14285714285714288,0.22509568367501132
8,Beijing,0.14285714285714285,0.0,0.15734425263917193
9,Pyongyang,0.14285714285714285,0.0,0.15734425263917193
10,Moscow,0.14285714285714285,0.0,0.14479406842805712
11,Mexico,0.07142857142857142,0.0,0.10105339296825386
12,Tehran,0.07142857142857142,0.0,0.039760471825048035
13,Turkey,0.07142857142857142,0.0,0.10105339296825386
14,New York,0.07142857142857142,0.0,0.10105339296825386
