,nodes,degree,betweenness,eigenvector
0,Moore,0.4193548387096774,0.4043010752688172,0.40669413817332223
1,Flynn,0.3548387096774194,0.25591397849462366,0.39847109848426193
2,Jones,0.0967741935483871,0.0,0.09907399328779715
3,Donald Trump,0.29032258064516125,0.3139784946236559,0.44032919324070735
4,Trump,0.25806451612903225,0.17204301075268819,0.4236096229061248
5,Roy Moore,0.03225806451612903,0.0,0.07966647695515251
6,McConnell,0.12903225806451613,0.0,0.12441894458824085
7,Powell,0.0967741935483871,0.0,3.2724844233396864e-11
8,Yellen,0.0967741935483871,0.0,3.2724844233396864e-11
9,Doug Jones,0.03225806451612903,0.0,0.07966647695515251
10,Tillerson,0.16129032258064516,0.053763440860215055,0.22100483177451452
11,Papadopoulos,0.0967741935483871,0.0,0.052916197861891216
12,Mitch McConnell,0.06451612903225806,0.0,0.10403884656761571
13,Michael Flynn,0.03225806451612903,0.0,0.07805417925765772
14,Nelson,0.03225806451612903,0.0,0.07966647695515251
15,Barack Obama,0.06451612903225806,0.0,0.16923305792932272
16,Xi,0.0967741935483871,0.0,0.10319307784676154
17,Robert Mueller,0.06451612903225806,0.0,0.16430819524100077
18,Mueller,0.16129032258064516,0.053763440860215055,0.21722439310289202
19,Clinton,0.12903225806451613,0.0,0.13470542643504757
20,Comey,0.03225806451612903,0.0,0.07805417925765772
21,Jeff Sessions,0.03225806451612903,0.0,0.07966647695515251
22,Luther Strange,0.03225806451612903,0.0,0.07966647695515251
23,Rex Tillerson,0.03225806451612903,0.0,0.04329159509825329
24,Mike Pence,0.03225806451612903,0.0,0.07805417925765772
25,Dimon,0.06451612903225806,0.0,7.585029920058341e-17
26,Steve Bannon,0.03225806451612903,0.0,0.07966647695515251
27,Hillary Clinton,0.06451612903225806,0.0,0.11264078444525252
28,Kushner,0.03225806451612903,0.0,0.07805417925765772
29,Paul,0.06451612903225806,0.0,7.585029920058341e-17
30,Ryan,0.06451612903225806,0.0,7.585029920058341e-17
31,Gulen,0.03225806451612903,0.0,0.07805417925765772
