,nodes,degree,betweenness,eigenvector
0,Moore,0.5714285714285714,0.5523809523809524,0.551126437249179
1,Flynn,0.47619047619047616,0.49523809523809526,0.41883637051415373
2,Jones,0.14285714285714285,0.0,0.16682402164876892
3,Roy Moore,0.047619047619047616,0.0,0.12806063204465515
4,McConnell,0.047619047619047616,0.0,0.12806063204465515
5,Donald Trump,0.14285714285714285,0.17142857142857143,0.3257090723730659
6,Powell,0.14285714285714285,0.0,3.598876280695002e-13
7,Trump,0.2857142857142857,0.2571428571428572,0.4317604181190062
8,Yellen,0.047619047619047616,0.0,2.2242278627753178e-13
9,Doug Jones,0.047619047619047616,0.0,0.12806063204465515
10,Papadopoulos,0.14285714285714285,0.0,0.042249528791294844
11,Nelson,0.047619047619047616,0.0,0.12806063204465515
12,Mitch McConnell,0.047619047619047616,0.0,0.12806063204465515
13,Michael Flynn,0.047619047619047616,0.0,0.09732310872172002
14,Xi,0.14285714285714285,0.0,0.1306938123271542
15,Mueller,0.19047619047619047,0.08571428571428572,0.13957263751301485
16,Comey,0.047619047619047616,0.0,0.09732310872172002
17,Robert Mueller,0.047619047619047616,0.0,0.09732310872172002
18,Jeff Sessions,0.047619047619047616,0.0,0.12806063204465515
19,Mike Pence,0.047619047619047616,0.0,0.09732310872172002
20,Luther Strange,0.047619047619047616,0.0,0.12806063204465515
21,Kushner,0.047619047619047616,0.0,0.09732310872172002
